"gene_family","SRR14127885","SRR14127886","SRR14127887","SRR14127888","SRR14127889","SRR14127890","SRR14127891","SRR14127893","SRR14127894","SRR14127895","SRR14127896","SRR14127897","SRR14127898","SRR14127899","SRR14127900","SRR14127901","SRR14127902","SRR14127904","SRR14127905","SRR14127907","SRR14127931","SRR14127932","SRR14127933","SRR14127934","SRR14127935","SRR14127936","SRR14127937","SRR14127939","SRR14127940","SRR14127941","SRR14127942","SRR14127943","SRR14127944","SRR14127945","SRR14127946","SRR14127947","SRR14127948","SRR14127950","SRR14127951","SRR14128067","SRR14128068","SRR14128069","SRR14128070","SRR14128072","SRR14128073","SRR14128074","SRR14128075","SRR14128076","SRR14128077","SRR14128078","SRR14128079","SRR14128080","SRR14128081","SRR14128083","SRR14128085","SRR14128111","SRR14128112","SRR14128113","SRR14128114","SRR14128115","SRR14128116","SRR14128117","SRR14128118","SRR14128120","SRR14128121","SRR14128122","SRR14128123","SRR14128124","SRR14128125","SRR14128126","SRR14128127","SRR14128128","SRR14128130","SRR14128131","SRR14128132","SRR14128134"
"UniRef90_A0A133N9F8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6913580247,6.8027210884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A133NZC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,96.511627907,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A133PBC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8836863619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0963855422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A133PRD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9278350515,0,0
"UniRef90_A0A133PZQ0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4572223147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1957652173,0,0
"UniRef90_A0A133RZI2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
"UniRef90_A0A133ZB27",0,0,0,0,0,0,0,0,0,0,0,0,24.0918072655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A133ZCJ2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4453398808,0,0,0,0
"UniRef90_A0A133ZGE8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8741239522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A133ZV57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5775335775,0,0,0,0
"UniRef90_A0A133ZXX7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5758662745,0,0,0,0,0,0,0
"UniRef90_A0A134A0N8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4694850727,0,0,0,0
"UniRef90_A0A134A9E6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1226574296,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A134B438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0133538778,0,0
