"gene_family","SRR23351002","SRR23351003","SRR23351004","SRR23351005","SRR23351006","SRR23351007","SRR23351008","SRR23351009","SRR23351010","SRR23351011","SRR23351012","SRR23351013","SRR23351014","SRR23351015","SRR23351016","SRR23351017","SRR23351018","SRR23351019","SRR23351020","SRR23351021","SRR23351022","SRR23351023","SRR23351024","SRR23351025"
"UniRef90_J6HWZ4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4927536232,0,0,0,0,0,0
"UniRef90_J6IVD7",0,0,0,0,0,0,7.4762745764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J7U189",0,0,0,0,0,0,0,0,0,16.1300360981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1MHX3",0,0,0,0,0,34.4827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1MHZ4",0,0,0,0,0,22.4719101124,0,0,0,0,0,0,0,0,0,11.4285714286,0,0,0,0,0,0,0,0
"UniRef90_L1MJB0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2574935706,0,0,0,0,0
"UniRef90_L1MMI0",33.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1MNB5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8758681838,0,0,0,0,0,0,0
"UniRef90_L1NIT5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.986013986,0,0,0,0,0,0,0,0,0
"UniRef90_L1NQP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4207365563,0,0,0,0,0
"UniRef90_L1NYQ6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5047168483,0,0,0,0,0
"UniRef90_L1NZA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1435626027,0,0,0,0,0
"UniRef90_L1P121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7393364929,0,0,0,0,0
"UniRef90_L1P8E0",0,0,0,0,23.6694677871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1P920",0,0,0,0,44.9438202247,0,0,0,0,0,0,0,44.569641909,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1PB62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.961352657,0,0,0
"UniRef90_L1PBR5",0,0,0,0,8.7719298246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1PHD5",0,0,0,0,0,0,0,0,13.289183223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_Q7P6C1",0,0,0,0,0,0,0,0,0,0,54.0540540541,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_R4SB26",0,0,0,0,0,0,0,13.1578947368,0,0,0,0,0,658.9442868522,0,0,0,0,0,0,0,0,0,0
"UniRef90_R9MWB5",0,4.5662100457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U1PZP5",0,0,0,0,0,10.1266471825,0,0,0,0,0,0,0,0,0,67.0355599867,0,0,0,0,0,59.7147950089,0,0
"UniRef90_U1QD71",0,19.5363392812,0,0,0,6.6115883111,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5576590232,0,0,0,0
"UniRef90_U1QDI6",0,0,20.4081632653,20.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U1QHA3",0,0,58.8235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U1RIG8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3841374744,0,0,0,0
"UniRef90_U1RIV9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.619047619,0,39.3101454861,0,0
"UniRef90_U1RPM3",0,0,50.556306065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U1RUD6",0,0,0,0,0,0,0,16.4835164835,10.9289617486,0,0,0,0,0,0,0,0,0,0,22.6053639847,0,250.8552475832,0,0
"UniRef90_U1S523",0,0,0,0,0,0,0,0,20.618556701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U2A6D5",0,0,0,0,43.1177722022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U2IHZ4",0,0,0,0,0,0,0,0,0,44.6078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U2IU26",0,0,0,0,0,0,0,0,0,23.8095238095,0,0,0,0,0,0,0,0,0,0,13.5135135135,0,0,0
"UniRef90_U2KLG5",0,0,0,0,0,0,0,0,0,15.1515151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U2PC79",0,0,0,0,0,0,0,13.0718954248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U2PX05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
"UniRef90_U2RJP4",0,0,0,0,0,0,0,0,0,0,0,0,5.1282051282,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U2SRQ4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2601626016,0,0,0,0,0,0,0
"UniRef90_U2T1H5",0,0,0,0,59.7147950089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5503731343,0
"UniRef90_U2UUB7",0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111,0,0,0,0,0,0,0,0,0,0
"UniRef90_U7UXL5",0,0,0,0,0,0,0,0,0,0,0,9.7925828642,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_U7V4D6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5988805121,9.8985482877,0,0,0,0,13.9379590846,0,0
"UniRef90_U7V776",0,0,0,0,0,0,0,0,0,0,0,14.3555633573,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_UPI00020F0401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8739470506,0,0,0,0,0
"UniRef90_UPI00025E33FD",0,0,0,0,0,0,0,11.6290223945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_UPI000307AF32",0,0,0,0,0,0,8.31604426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_UPI00030D7FF4",0,0,0,0,0,0,0,0,0,0,6.3693064226,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_UPI00036A705E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4122914123,0,0,0,0,0,0,0,0,0
"UniRef90_UPI0003F563A9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1813516928,0,0,0
"UniRef90_UPI000570FD3F",0,0,0,0,0,0,0,0,10.6964106964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_UPI00058E23E9",0,0,0,0,0,23.5184693064,0,0,18.8016951412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_UPI00094AEA10",0,0,0,0,0,0,0,0,0,0,4.4251851136,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_UPI0009F84078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.674453096,0,0,0,78.9623478636,0,0,0,0
"UniRef90_UPI0009F8505A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5185185185,0,0,0,53.72633832,0,0,0,0
"UniRef90_UPI0009F88094",7.874015748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4343060059,0,0,0,0
"UniRef90_UPI0009FC0E6D",0,0,0,19.1094431838,0,0,0,0,0,0,15.9748956086,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_UPI000B991F34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1439156205,0,0,0,0,0,0
"UniRef90_UPI000CA084CC",0,0,0,0,0,0,0,0,0,0,9.1812668464,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_UPI000D111C8C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3831797182,0,0,0,0,0,0,0,0
"UniRef90_UPI000D31E26D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6716611173,0,0,0,0,0,0,0
"UniRef90_V2XLD5",0,0,0,0,14.7058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_V2ZB92",0,0,0,0,0,0,0,0,0,11.0721075539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_W1Q1S0",0,0,0,0,0,0,0,0,0,0,0,9.9502487562,0,0,0,18.8784256105,0,64.4312906749,0,0,0,0,0,0
"UniRef90_W1Q4C4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0
"UniRef90_W1Q5I9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3032049401,10.094275111,0,0,0,0,0
"UniRef90_W1U390",0,0,0,0,0,0,0,10.781671159,10.7671796655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_W1WUM2",22.9187430053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_W1WVI9",0,0,0,0,0,0,0,0,4.3907846539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
