"gene_family","SRR23351002","SRR23351003","SRR23351004","SRR23351005","SRR23351006","SRR23351007","SRR23351008","SRR23351009","SRR23351010","SRR23351011","SRR23351012","SRR23351013","SRR23351014","SRR23351015","SRR23351016","SRR23351017","SRR23351018","SRR23351019","SRR23351020","SRR23351021","SRR23351022","SRR23351023","SRR23351024","SRR23351025"
"UniRef90_E7RTR9",0,0,0,0,6.9444444444,0,0,0,0,0,0,6.9444444444,0,0,0,0,0,0,0,0,0,0,0,6.9444444444
"UniRef90_E7RTY9",0,0,0,0,0,0,0,0,0,0,0,10.8320649417,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7RTZ0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0808080808,60.6060606061,0,0,0,0,0,0
"UniRef90_E7RUQ9",0,0,0,0,0,0,0,0,0,0,0,28.80182431,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7RVB6",0,0,0,0,0,0,0,0,0,0,0,7.7821158953,0,0,0,0,7.7154293707,0,0,0,0,0,0,0
"UniRef90_E7RVR2",0,0,0,0,0,0,0,0,0,0,0,112.2451975505,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7RVS8",0,0,0,0,0,0,0,0,0,0,55.5555555556,0,0,0,0,0,0,75.0836920134,0,0,0,0,0,0
"UniRef90_E7RWV9",0,0,0,0,0,0,0,0,0,0,0,19.0024825096,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7RXG0",0,0,0,0,0,5.4347826087,0,0,0,0,0,46.0235640648,0,0,0,59.3837535014,23.8095238095,11.9047619048,0,0,0,18.5185185185,11.9047619048,0
"UniRef90_E7RY83",50.9151539304,0,0,0,0,0,0,0,0,0,0,47.0928839145,0,0,0,117.7313781277,0,90.1352666833,8.0972987149,16.2601626016,0,37.1938707454,0,35.1337786399
"UniRef90_E7RYB7",0,0,0,0,0,0,0,0,0,0,0,7.2463768116,0,0,0,0,0,0,0,0,0,0,0,15.1515151515
"UniRef90_E7RYC5",0,0,0,0,0,0,0,0,0,0,0,55.6892503498,0,0,4.2918454936,0,0,0,14.8148148148,14.7603485839,0,0,0,0
"UniRef90_E7RYK2",0,0,0,0,0,0,0,0,0,0,0,18.8679245283,0,0,0,38.0952380952,0,19.0476190476,0,0,0,0,0,19.0476190476
"UniRef90_E7RZ05",0,0,0,0,0,0,0,0,0,0,0,54.4671321883,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E8KDV8",20.3188609999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F0EUX0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5227119328,0,0,0,0,0
"UniRef90_F0EUX5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4910810386,20.8397971613,0,0,0,0,0
"UniRef90_F0EUZ6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.779860625,11.252395844,0,0,0,0,0
"UniRef90_F0IAB6",2.7400517303,0,0,0,0,0,0,0,0,0,0,25.0079521311,0,0,0,0,4.8953347431,3.6201355215,0,0,0,0,3.3036087277,5.8423012184
"UniRef90_F0IIV1",0,0,0,0,0,0,0,0,0,0,0,6.7253072651,0,0,0,0,3.0881381699,1.5221933872,0,0,0,0,2.9608616396,4.2586629996
"UniRef90_F2UVA9",0,0,0,41.3945441107,4.5871559633,0,0,0,56.3036784962,11.3948635302,0,26.5086679833,0,0,0,50.8920708426,24.7311827957,0,0,96.3318949022,0,0,0,66.5977961433
"UniRef90_F2UVY4",0,0,0,22.2222222222,0,10.989010989,0,0,0,0,5.291005291,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F3AZX4",0,0,0,0,9.8039215686,0,0,0,0,0,0,0,18.8696039163,0,0,0,0,0,9.8280691587,0,0,0,0,0
"UniRef90_F3B4K9",0,0,0,0,0,0,0,0,7.6240144512,15.0756530366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F3UU36",0,0,0,0,0,0,0,0,0,0,0,6.1269396626,0,0,0,0,9.3358466557,2.8599692802,0,0,0,0,0,5.3856855242
"UniRef90_F5RPM1",0,0,0,0,0,0,0,0,0,7.4211758227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F5RPM2",0,0,0,0,13.1578947368,0,0,0,0,0,0,0,0,0,0,12.8205128205,0,0,0,0,0,0,0,0
"UniRef90_F7L2Y4",0,0,0,0,17.7393220644,0,0,0,8.9888094372,0,0,0,16.72054785,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F9EDQ2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6948356808,0,0,0,0,0,0,0,0,0
"UniRef90_F9EJI3",0,0,0,0,0,34.4827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F9EJN4",0,0,0,0,0,0,0,0,0,31.746031746,0,0,0,0,0,6.2111801242,0,0,0,18.691588785,0,48.7015405234,0,0
"UniRef90_F9EKM2",0,0,0,0,0,0,0,0,0,6.9444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F9ENT1",0,0,0,0,0,0,0,0,0,0,0,0,9.7800095648,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F9EQU2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2154977452,0,0,0
"UniRef90_F9GMH7",0,0,0,0,0,0,0,0,6.5359477124,0,0,0,6.5359477124,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G1WAA6",0,0,0,9.5238095238,0,0,0,0,0,0,0,0,0,9.7087378641,0,0,0,0,0,0,0,0,0,0
"UniRef90_G2T100",0,0,0,0,0,14.4927536232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G5GRC5",0,0,0,0,0,0,0,0,0,5.8139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G6AGG7",0,0,0,8.3682008368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5246184434
"UniRef90_G6C504",0,0,1500,0,1500,0,0,0,0,2168.2312038244,534.4827586207,0,2519.5126594327,0,1000,0,0,0,1029.4117647059,27.397260274,49.1743119266,0,0,0
"UniRef90_G9WPQ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7619047619
"UniRef90_G9ZBU9",0,0,0,0,0,0,0,0,0,8.1300813008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G9ZCV2",0,0,0,0,5.076142132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G9ZJC9",0,0,0,0,0,0,0,0,0,0,0,0,10.5263157895,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_H1LSY9",0,13.6054421769,0,0,0,17.8388278388,0,0,51.2820512821,0,0,0,0,0,0,13.6054421769,0,0,0,0,0,0,0,0
"UniRef90_I0TBH2",0,0,19.6078431373,47.1737238585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J0MN06",0,0,0,0,0,0,0,0,0,0,29.4117647059,50.5505505506,0,0,0,0,36.7003367003,0,0,0,0,0,0,18.1818181818
"UniRef90_J0MQ72",0,0,0,0,0,8.2569364337,0,0,6.4982220077,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4447542507,0
"UniRef90_J0N933",0,0,0,0,0,0,0,0,12.8205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J0N9B2",0,0,0,0,0,11.9047619048,0,0,0,0,0,0,0,0,0,0,23.6694677871,0,0,0,0,0,0,0
"UniRef90_J0NHS5",0,0,0,0,0,0,0,0,26.4912280702,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5218979653,0
"UniRef90_J0NK35",0,0,0,0,0,35.3271139098,0,9.4730709332,0,0,26.0858684184,0,0,0,24.2138691423,0,0,0,0,48.1156031348,0,0,0,0
"UniRef90_J0NS07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.2568030639,0,0,0,0,0,0,0
"UniRef90_J0WKC0",0,0,0,0,0,37.6129237209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J0XDP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7819720888,0,0,0,0,0,0,17.3913043478
"UniRef90_J0XE44",0,0,0,20.2627849503,0,79.9063369968,0,0,10.2272991108,0,67.5923026177,10.152284264,0,0,38.7224826603,0,20.5128205128,0,6.8143298275,0,0,0,0,50.1476243285
"UniRef90_J0XEL7",0,0,0,0,0,0,0,0,19.5126594327,0,18.018018018,0,0,0,19.5126594327,0,15.7480314961,0,0,0,0,0,19.3241224795,0
"UniRef90_J1HCH7",0,0,0,0,0,116.8514881032,0,28.2168475846,0,11.3636363636,0,84.0875439992,0,0,0,0,0,0,0,0,0,0,10.752688172,26.929127339
"UniRef90_J1HLV5",0,0,0,0,0,17.7581120944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J1HMD3",0,0,5.9523809524,0,0,11.7338380145,23.1869379809,17.8837953092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J1HMY4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4912280702,0,0,0,0,0,0,0
"UniRef90_J2ZP06",0,0,0,0,0,21.2765957447,0,0,53.1578947368,0,27.027027027,0,0,0,32.575370465,0,0,0,0,0,0,49.0754561339,0,0
"UniRef90_J3JI98",0,22.03540978,34.1103334052,9.3405858158,0,0,0,0,0,0,24.2558851883,0,0,0,0,0,0,0,0,73.5080074225,0,32.5268553583,0,0
"UniRef90_J4J2M1",0,0,0,0,0,0,0,0,0,32.6431845236,0,0,0,16.4237935977,0,16.4234672431,0,0,0,0,10.6667425191,0,0,0
"UniRef90_J4VLQ5",0,0,0,0,0,0,0,0,0,0,0,13.8890873512,0,0,0,0,0,0,0,0,0,0,0,13.847002466
"UniRef90_J4WPZ5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0293913823,0,0,0,0
"UniRef90_J4X3C5",0,0,0,0,58.4427945936,0,48.3711132579,9.7087378641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J4X4D7",0,0,0,0,0,0,0,0,0,0,0,0,39.4646920371,0,0,0,0,0,7.326007326,0,0,0,0,0
"UniRef90_J5UUN7",0,0,0,0,39.2156862745,0,0,82.3599880204,0,19.6078431373,0,0,0,0,25.3970813513,0,0,0,0,0,0,0,0,0
"UniRef90_J5W1Y2",0,0,0,0,0,0,20.2789314464,0,0,39.9517563697,19.8827447435,0,34.2697274092,0,0,0,9.8039215686,0,0,0,20.177152233,0,0,0
"UniRef90_J5XQL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5185185185,0,0,0
"UniRef90_J6HXM3",0,0,0,0,7.9365079365,0,0,0,26.6655009617,0,0,0,47.3700553056,0,0,0,15.688445921,0,31.4355236845,0,0,0,0,0
