"gene_family","SRR14127885","SRR14127886","SRR14127887","SRR14127888","SRR14127889","SRR14127890","SRR14127891","SRR14127893","SRR14127894","SRR14127895","SRR14127896","SRR14127897","SRR14127898","SRR14127899","SRR14127900","SRR14127901","SRR14127902","SRR14127904","SRR14127905","SRR14127907","SRR14127931","SRR14127932","SRR14127933","SRR14127934","SRR14127935","SRR14127936","SRR14127937","SRR14127939","SRR14127940","SRR14127941","SRR14127942","SRR14127943","SRR14127944","SRR14127945","SRR14127946","SRR14127947","SRR14127948","SRR14127950","SRR14127951","SRR14128067","SRR14128068","SRR14128069","SRR14128070","SRR14128072","SRR14128073","SRR14128074","SRR14128075","SRR14128076","SRR14128077","SRR14128078","SRR14128079","SRR14128080","SRR14128081","SRR14128083","SRR14128085","SRR14128111","SRR14128112","SRR14128113","SRR14128114","SRR14128115","SRR14128116","SRR14128117","SRR14128118","SRR14128120","SRR14128121","SRR14128122","SRR14128123","SRR14128124","SRR14128125","SRR14128126","SRR14128127","SRR14128128","SRR14128130","SRR14128131","SRR14128132","SRR14128134"
"UniRef90_L1NU03",53.7683785073,0,0,8.2135869932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9794357116,0,0,0,0,0,0,0,0,0,0,0,0,13.7458667926,0,0,0,0,0,0,89.8115456979,0,36.36863471,0,0,0,0,0,0,0,20.5013512254,0,0,0,6.8027210884,0,0,0,0,0,0,0,0,57.6957402048,18.2555780933,0,0,0,0,0,0,0,0,0,0,49.0742640391,0
"UniRef90_L1NWR4",40.1238728038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5693779904,0,0,28.1525454218,0,0,0,0,0,0,0,0,0,0,4.8076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8309178744,0,0,74.2708644446
"UniRef90_L1NXW0",30.9812510015,0,0,10.1787101787,0,0,0,0,67.1624853079,0,0,0,0,27.6967359243,0,0,0,0,20.618556701,14.633312161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1282051282,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7278911565,0,0,0,0,0,0,0,0,0,0,0,19.5603894852,0,48.5515859263,5,0,0,0,0,0,0,0,0,0,0,107.842021323
"UniRef90_L1NY42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9885057471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.303030303,0,0,0,0,0,0,0,7.5187969925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.1030875641
"UniRef90_L1NZ00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0845070423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8086670733,0,0,0,0,0,0,0,0,0,0,0,0,28.4202569917,0
"UniRef90_L1NZV5",0,0,15.756302521,305.153215489,0,0,0,0,0,0,0,0,0,0,0,25.641025641,0,0,0,0,0,0,0,0,51.2321762707,0,0,0,0,67.2355695614,33.5064035999,38.2992534891,0,0,0,20.8333333333,0,0,0,12.6582278481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2558139535,0,234.05242864,38.4784075574,0,0,0,0,0,0,0,0,0,0,63.1329113924,25.3164556962,0
"UniRef90_L1P0B5",0,0,0,50.8408165284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666667,0,0,9.4339622642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8533619933,66.0377358491,96.6164813169,0,0,0,0,0,0,0,0,8.1967213115,0,0,17.119383629,0,0
"UniRef90_L1P1D7",0,0,0,0,0,0,0,0,0,0,0,0,23.2558139535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7391304348,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1P504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9256194276
"UniRef90_L1P7A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.393442623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2893081761,9.7087378641,0,0,0,0,0
